map_unit,region,party,votes,local_seats
Province de Khémisset إقليم الخميسات,Rabat-Salé-Kenitra,PUD,574,0
Province de Khémisset إقليم الخميسات,Rabat-Salé-Kenitra,PSU,512,0
Province de Khémisset إقليم الخميسات,Rabat-Salé-Kenitra,PCS,512,0
Province de Khémisset إقليم الخميسات,Rabat-Salé-Kenitra,UMD,475,0
Province de Khémisset إقليم الخميسات,Rabat-Salé-Kenitra,PA,378,0
Province de Khémisset إقليم الخميسات,Rabat-Salé-Kenitra,PLJS,320,0
Province de Khémisset إقليم الخميسات,Rabat-Salé-Kenitra,PSD,249,0
Province de Khémisset إقليم الخميسات,Rabat-Salé-Kenitra,PVM,208,0
Province de Khémisset إقليم الخميسات,Rabat-Salé-Kenitra,PAN,111,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,RNI,41980,1
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,MP,24996,1
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,PAM,22492,1
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,PI,21913,1
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,USFP,21466,1
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,UC,10801,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,PJD,5834,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,PPS,5111,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,PML,3202,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,AFG,1343,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,PEDD,508,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,PVM,298,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,PRV,227,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,PDI,76,0
Province de Sidi Kacem إقليم سيدي قاسم,Rabat-Salé-Kenitra,NEO,48,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,UC,25136,1
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,USFP,18607,1
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,RNI,17212,1
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PAM,9977,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PI,3862,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,MP,2067,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PJD,1735,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PPS,1625,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,FFD,1545,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PML,1103,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PDI,560,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PA,472,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PRV,398,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,UMD,366,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PEDD,360,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PAN,181,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PCS,153,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PSU,117,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PRD,58,0
Province de Sidi Slimane إقليم سيدي سليمان,Rabat-Salé-Kenitra,PUD,56,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,RNI,22219,1
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,UC,16824,1
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PAM,15545,1
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PI,12877,1
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PJD,5398,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PPS,4874,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,MP,4552,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,MDS,2399,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,AFG,2006,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,USFP,1744,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PEDD,1279,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PSU,1049,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,FFD,1030,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,NEO,973,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PUD,955,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PRD,706,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PML,562,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PCS,400,0
Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,Rabat-Salé-Kenitra,PVM,67,0
Agadir Ida-Outanane Prefecture,Souss-Massa,RNI,50829,1
Agadir Ida-Outanane Prefecture,Souss-Massa,PAM,14136,1
Agadir Ida-Outanane Prefecture,Souss-Massa,PI,8175,1
Agadir Ida-Outanane Prefecture,Souss-Massa,PPS,7103,1
Agadir Ida-Outanane Prefecture,Souss-Massa,USFP,7091,0
Agadir Ida-Outanane Prefecture,Souss-Massa,PJD,5390,0
Agadir Ida-Outanane Prefecture,Souss-Massa,AFG,2230,0
Agadir Ida-Outanane Prefecture,Souss-Massa,MP,954,0
Agadir Ida-Outanane Prefecture,Souss-Massa,PSU,914,0
Agadir Ida-Outanane Prefecture,Souss-Massa,FFD,660,0
Agadir Ida-Outanane Prefecture,Souss-Massa,PVM,255,0
Agadir Ida-Outanane Prefecture,Souss-Massa,PML,137,0
Agadir Ida-Outanane Prefecture,Souss-Massa,PUD,118,0
Agadir Ida-Outanane Prefecture,Souss-Massa,PLJS,84,0
Agadir Ida-Outanane Prefecture,Souss-Massa,PEDD,81,0
Agadir Ida-Outanane Prefecture,Souss-Massa,PAN,54,0
Agadir Ida-Outanane Prefecture,Souss-Massa,PA,21,0
Chtouka-Ait Baha Province,Souss-Massa,RNI,37077,1
Chtouka-Ait Baha Province,Souss-Massa,PI,25022,1
Chtouka-Ait Baha Province,Souss-Massa,PAM,24718,1
Chtouka-Ait Baha Province,Souss-Massa,PJD,4380,0
Chtouka-Ait Baha Province,Souss-Massa,USFP,3571,0
Chtouka-Ait Baha Province,Souss-Massa,PPS,2669,0
Chtouka-Ait Baha Province,Souss-Massa,PSU,2393,0
Chtouka-Ait Baha Province,Souss-Massa,MP,1153,0
Chtouka-Ait Baha Province,Souss-Massa,AFG,501,0
Chtouka-Ait Baha Province,Souss-Massa,PCS,468,0
Chtouka-Ait Baha Province,Souss-Massa,PVM,62,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,RNI,22975,1
Inezgane-Ait Melloul Prefecture,Souss-Massa,PAM,11122,1
Inezgane-Ait Melloul Prefecture,Souss-Massa,PI,10577,1
Inezgane-Ait Melloul Prefecture,Souss-Massa,USFP,7428,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,PJD,5513,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,PPS,5487,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,FFD,3002,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,MP,2142,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,PUD,1222,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,AFG,555,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,PSU,531,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,PRD,404,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,PRV,251,0
Inezgane-Ait Melloul Prefecture,Souss-Massa,PEDD,242,0
Taroudant Province,Souss-Massa,RNI,104143,2
Taroudant Province,Souss-Massa,PI,73513,2
Taroudant Province,Souss-Massa,PAM,57141,2
Taroudant Province,Souss-Massa,USFP,13040,0
Taroudant Province,Souss-Massa,PJD,5725,0
Taroudant Province,Souss-Massa,UC,2175,0
Taroudant Province,Souss-Massa,MP,1255,0
Taroudant Province,Souss-Massa,PML,459,0
Taroudant Province,Souss-Massa,PSU,450,0
Taroudant Province,Souss-Massa,AFG,349,0
Taroudant Province,Souss-Massa,PPS,297,0
Taroudant Province,Souss-Massa,NEO,205,0
Taroudant Province,Souss-Massa,PUD,204,0
Taroudant Province,Souss-Massa,PCS,145,0
Tata Province,Souss-Massa,RNI,16800,1
Tata Province,Souss-Massa,PAM,13901,1
Tata Province,Souss-Massa,PI,9909,0
Tata Province,Souss-Massa,MP,6307,0
Tata Province,Souss-Massa,PJD,2102,0
Tata Province,Souss-Massa,USFP,678,0
Tata Province,Souss-Massa,PPS,376,0
Tata Province,Souss-Massa,PLJS,198,0
Tiznit Province,Souss-Massa,RNI,37605,1
Tiznit Province,Souss-Massa,PI,7661,1
Tiznit Province,Souss-Massa,PPS,5456,0
Tiznit Province,Souss-Massa,PJD,4548,0
Tiznit Province,Souss-Massa,USFP,4516,0
Tiznit Province,Souss-Massa,PAM,4340,0
Tiznit Province,Souss-Massa,MP,331,0
Tiznit Province,Souss-Massa,AFG,296,0
Tiznit Province,Souss-Massa,PAN,211,0
Tiznit Province,Souss-Massa,PVM,187,0
Tiznit Province,Souss-Massa,PML,139,0
Tiznit Province,Souss-Massa,PDI,21,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,PI,22902,1
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,RNI,19346,1
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,PAM,14635,1
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,MP,14190,1
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,USFP,13702,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,UC,11457,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,PPS,4426,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,PJD,1137,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,FFD,957,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,PSU,820,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,PVM,329,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,NEO,316,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,PML,160,0
Al Hoceima Province,Tangier-Tetouan-Al Hoceima,PRD,159,0
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,RNI,31888,1
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,USFP,21321,1
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,PAM,19106,1
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,PI,17076,1
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,UC,9101,0
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,MP,8440,0
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,PPS,6097,0
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,PSU,2897,0
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,PJD,1129,0
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,PEDD,833,0
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,NEO,546,0
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,PUD,493,0
Chefchaouen Province,Tangier-Tetouan-Al Hoceima,PVM,324,0
Fahs-Anjra Province,Tangier-Tetouan-Al Hoceima,RNI,14643,1
Fahs-Anjra Province,Tangier-Tetouan-Al Hoceima,PI,10096,1
Fahs-Anjra Province,Tangier-Tetouan-Al Hoceima,PJD,2534,0
Fahs-Anjra Province,Tangier-Tetouan-Al Hoceima,PPS,1098,0
Fahs-Anjra Province,Tangier-Tetouan-Al Hoceima,PAM,369,0
Fahs-Anjra Province,Tangier-Tetouan-Al Hoceima,USFP,204,0
Fahs-Anjra Province,Tangier-Tetouan-Al Hoceima,AFG,152,0
Fahs-Anjra Province,Tangier-Tetouan-Al Hoceima,PAN,11,0
Fahs-Anjra Province,Tangier-Tetouan-Al Hoceima,PA,3,0
Larache Province,Tangier-Tetouan-Al Hoceima,RNI,35532,1
Larache Province,Tangier-Tetouan-Al Hoceima,PI,24676,1
Larache Province,Tangier-Tetouan-Al Hoceima,UC,19068,1
Larache Province,Tangier-Tetouan-Al Hoceima,PAM,14510,1
Larache Province,Tangier-Tetouan-Al Hoceima,USFP,5418,0
Larache Province,Tangier-Tetouan-Al Hoceima,PJD,4106,0
Larache Province,Tangier-Tetouan-Al Hoceima,MP,2905,0
Larache Province,Tangier-Tetouan-Al Hoceima,PEDD,766,0
Larache Province,Tangier-Tetouan-Al Hoceima,PVM,585,0
Larache Province,Tangier-Tetouan-Al Hoceima,PPS,552,0
Larache Province,Tangier-Tetouan-Al Hoceima,NEO,367,0
Larache Province,Tangier-Tetouan-Al Hoceima,PUD,338,0
Larache Province,Tangier-Tetouan-Al Hoceima,AFG,317,0
Larache Province,Tangier-Tetouan-Al Hoceima,PA,103,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,UC,22821,1
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PI,21218,1
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PAM,20131,1
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,RNI,19900,1
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,USFP,11650,1
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PJD,8010,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,MP,2567,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PPS,2485,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PSU,1410,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,NEO,1059,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PCS,938,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PVM,792,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,AFG,654,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PEDD,437,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PAN,371,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,MDS,349,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PUD,316,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PRV,158,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PA,130,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,UMD,123,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PDI,51,0
Prefecture of Tangier - Assilah,Tangier-Tetouan-Al Hoceima,PLJS,16,0
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,RNI,30619,1
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,PAM,27818,1
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,PI,17214,1
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,USFP,12545,0
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,PJD,5712,0
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,MP,1150,0
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,PPS,734,0
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,PVM,308,0
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,PEDD,186,0
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,PRD,108,0
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,PAN,62,0
Province d'Ouezzane إقليم وزان,Tangier-Tetouan-Al Hoceima,PDI,17,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,PAM,9299,1
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,USFP,5149,1
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,RNI,4479,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,PPS,3245,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,UC,2896,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,PI,2544,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,PJD,1675,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,AFG,1179,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,FFD,1048,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,PEDD,1027,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,PSU,573,0
Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,Tangier-Tetouan-Al Hoceima,PML,200,0
Tetouan Province,Tangier-Tetouan-Al Hoceima,RNI,26877,1
Tetouan Province,Tangier-Tetouan-Al Hoceima,PAM,25706,1
Tetouan Province,Tangier-Tetouan-Al Hoceima,PI,11798,1
Tetouan Province,Tangier-Tetouan-Al Hoceima,USFP,5424,1
Tetouan Province,Tangier-Tetouan-Al Hoceima,UC,5265,1
Tetouan Province,Tangier-Tetouan-Al Hoceima,PJD,2866,0
Tetouan Province,Tangier-Tetouan-Al Hoceima,PPS,2852,0
Tetouan Province,Tangier-Tetouan-Al Hoceima,MP,2434,0
Tetouan Province,Tangier-Tetouan-Al Hoceima,PSU,1065,0
Tetouan Province,Tangier-Tetouan-Al Hoceima,AFG,827,0
Tetouan Province,Tangier-Tetouan-Al Hoceima,PML,421,0
Tetouan Province,Tangier-Tetouan-Al Hoceima,PEDD,145,0
Tetouan Province,Tangier-Tetouan-Al Hoceima,PVM,66,0
